SAMPL6 molecule ID,supplier reported purity (%),LC/MS purity (Area%),supplier reported molecular weight (g/mol),eMolecules reported molecular weight (g/mol),LC/MS molecular weight (g/mol),eMolecules ID,experimental molecule ID
SM01,95,98.516,217.23,217.221,217.221,6679830,M01
SM02,,97.62,,289.255,289.255,1327907,M02
SM03,,90.798,,301.387,301.387,1228629,M03
SM04,,99.884,,269.729,269.729,30719859,M04
SM05,,98.749,,304.771,304.771,18908671,M05
SM06,,98.913,,328.163,328.163,18893169,M06
SM07,95,99.384,235.284,235.284,235.284,1327878,M07
SM08,95,99.242,293.317,293.317,293.317,1367649,M08
SM09,95,98.969,287.744,287.744,287.744,1865544,M09
SM10,95,96.98,311.357,311.358,311.358,23354217,M10
SM11,90,98.022,,211.223,211.233,719540,M11
SM12,,98.134,,292.163,292.163,1859493,M12
SM13,,97.512,,295.336,295.336,5828805,M13
SM14,,96.484,,209.247,209.247,31653344,M15
SM15,,98.698,,210.231,210.231,37095168,M16
SM16,,97.733,267.114,267.111,267.111,1284691,M18
SM17,,96.994,,269.322,269.322,1444229,M19
SM18,,92.601,,426.439,426.439,18897105,D01
SM19,,94.464,,381.276,381.276,3365457,D02
SM20,,97.176,380.25,380.245,380.245,46568819,D05
SM21,,96.791,438.1,438.092,438.092,1574612,D06
SM22,,86.975,396.95,396.951,396.951,536848,D07
SM23,,96.011,420.47,420.461,420.461,4375254,D08
SM24,,99.331,391.43,391.42,391.42,1415746,D09
